"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00014739","BOSTON, MA US","2021-01-01","6.26",,"0.10","0.0","34","36","29","  320","  320","17.0","21.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-01-02","14.32",,"0.41","0.0","39","42","32","  310","  310","28.0","36.9","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-01-03","9.40",,"0.03","0.2","33","36","29","   20","   20","17.0","21.9","    1",,,,"    1",,
"USW00014739","BOSTON, MA US","2021-01-04","11.41",,"0.00","0.0","34","39","31","   30","   20","17.0","21.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-05","10.74",,"0.01","0.0","32","33","30","  340","  330","15.0","19.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-01-06","13.42",,"0.00","0.0","33","40","30","  320","  310","21.9","28.0","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-01-07","13.65",,"0.00","0.0","34","42","29","  310","  330","21.9","28.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-08","10.74",,"0.00","0.0","32","41","26","  330","  320","18.1","25.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-09","11.41",,"0.00","0.0","29","36","24","  350","  350","17.0","21.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-10","9.40",,"0.00","0.0","33","41","27","  310","  320","17.0","23.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-11","5.82",,"0.00","0.0","31","36","24","  230","  250","12.1","14.1",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-12","7.38",,"0.00","0.0","33","42","27","  310","  280","14.1","19.9",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-13","6.93",,"0.00","0.0","35","40","31","  120","  240","13.0","17.0",,,,,,,
"USW00014739","BOSTON, MA US","2021-01-14","5.37",,"0.10","0.0","35","39","31","  330","  330","8.9","12.1","    1",,,,,,"    1"
"USW00014739","BOSTON, MA US","2021-01-15","8.28",,"0.00","0.0","36","41","33","  100","  110","14.1","18.1","    1",,,,,,
"USW00014739","BOSTON, MA US","2021-01-16","18.57",,"1.03","0.0","42","52","37","  110","  110","42.9","49.0","    1",,"    1",,,,
